epoch,train_loss,train_acc,val_loss,val_acc
145,0.032419,0.991667,1.920612,0.463333
146,0.015256,1.000000,1.931915,0.463333
147,0.034922,0.991667,1.934282,0.463333
148,0.020453,1.000000,1.927667,0.463333
149,0.022569,1.000000,1.921118,0.460000
150,0.035144,1.000000,1.910599,0.470000
151,0.035628,0.991667,1.903239,0.470000
152,0.029103,1.000000,1.908552,0.470000
153,0.032206,1.000000,1.924670,0.476667
154,0.031352,0.991667,1.924963,0.470000
155,0.031811,1.000000,1.935229,0.466667
156,0.032852,1.000000,1.941153,0.463333
157,0.025184,1.000000,1.948932,0.463333
158,0.020378,1.000000,1.959850,0.456667
159,0.029702,1.000000,1.965757,0.453333
160,0.030622,1.000000,1.979772,0.456667
161,0.056042,0.991667,1.973890,0.446667
162,0.025722,0.991667,1.961958,0.450000
163,0.035043,0.991667,1.958403,0.446667
164,0.032257,0.991667,1.958272,0.443333
165,0.030435,0.991667,1.964529,0.440000
166,0.048854,0.983333,1.951195,0.436667
167,0.018487,1.000000,1.934131,0.433333
168,0.026673,1.000000,1.912075,0.436667
169,0.018205,1.000000,1.890427,0.443333
170,0.060358,0.975000,1.877669,0.450000
171,0.021387,1.000000,1.873047,0.460000
172,0.031749,1.000000,1.876833,0.470000
173,0.012502,1.000000,1.886552,0.480000
174,0.017805,1.000000,1.899284,0.490000
175,0.022823,1.000000,1.913328,0.490000
176,0.043902,0.983333,1.927194,0.486667
177,0.040023,0.991667,1.944109,0.483333
178,0.023012,1.000000,1.952904,0.476667
179,0.041918,0.983333,1.965169,0.473333
180,0.033368,1.000000,1.976896,0.453333
181,0.034372,0.991667,1.973204,0.456667
182,0.026577,1.000000,1.966118,0.456667
183,0.030541,0.991667,1.951888,0.460000
184,0.023972,1.000000,1.934201,0.460000
185,0.026182,1.000000,1.913310,0.456667
186,0.026168,1.000000,1.903082,0.456667
187,0.023418,1.000000,1.893127,0.456667
188,0.015518,1.000000,1.888636,0.453333
189,0.025126,1.000000,1.884971,0.453333
190,0.018671,1.000000,1.874940,0.463333
191,0.032022,1.000000,1.861447,0.456667
192,0.015633,1.000000,1.850673,0.463333
193,0.017659,1.000000,1.841045,0.466667
194,0.021276,1.000000,1.845850,0.470000
195,0.034181,0.983333,1.845420,0.476667
196,0.027489,1.000000,1.834815,0.480000
197,0.020552,1.000000,1.832693,0.480000
198,0.013454,1.000000,1.840610,0.476667
199,0.028778,0.991667,1.851504,0.466667
200,0.057451,0.983333,1.871717,0.466667
