epoch,loss,accuracy
1,6.953606,0.073573
2,6.100354,0.093526
3,5.968686,0.108352
4,5.837494,0.118977
5,5.703126,0.126575
6,5.568991,0.133679
7,5.430312,0.139733
8,5.290626,0.148690
9,5.150789,0.156968
10,5.009083,0.166358
