epoch,loss,accuracy
1,6.955863,0.068693
2,6.085783,0.097418
3,5.903995,0.110823
4,5.715310,0.121880
5,5.520315,0.132382
6,5.324797,0.144304
7,5.129904,0.157586
8,4.943538,0.170620
9,4.762939,0.183160
10,4.589403,0.195145
